vVirusNameCorrected,vOrder,vFamily,vSubfamily,vGenus,vIsTypeSpecies,vICTVnumber,ReverseZoonoses,IsHoSa,IsHoSa.stringent,vGenomeMinLength,vGenomeMaxLength,vGenomeAveLength,vWOKcites,vPubMedCites,vCytoReplicTF,vSegmentedTF,vVectorYNna,vSSoDS,vDNAoRNA,vEnvelope,IsZoonotic,IsZoonotic.stringent
Human_respiratory_syncytial_virus,Mononegavirales,Paramyxoviridae,Pneumovirinae,Pneumovirus,1,01.048.2.01.001.,1,1,1,,,15225.0,984,1561,True,False,,SS,RNA,enveloped,1,1
Human_rhinovirus_A,Picornavirales,Picornaviridae,,Rhinovirus,1,00.052.0.02.001.,0,1,1,,,7152.0,1461,9,True,False,N,SS,RNA,non-enveloped,0,0
Human_rhinovirus_B,Picornavirales,Picornaviridae,,Rhinovirus,0,,0,1,1,,,7212.0,4,4,True,False,N,SS,RNA,non-enveloped,0,0
Human_torovirus,Nidovirales,Coronaviridae,Torovirinae,Torovirus,0,,0,1,1,,,28000.0,8,6,True,False,N,SS,RNA,enveloped,0,0
Ife_virus,Unassigned,Reoviridae,,Orbivirus,0,,0,0,0,,,19200.0,5,4,True,False,Y,DS,RNA,non-enveloped,0,0
Ilheus_virus,Unassigned,Flaviviridae,,Flavivirus,0,,0,1,1,,,10755.0,46,20,True,False,Y,SS,RNA,enveloped,1,0
Influenza_A_virus,Unassigned,Orthomyxoviridae,,Influenzavirus A,1,00.046.0.01.001.,0,1,1,,,13444.6,28203,24642,True,True,N,SS,RNA,enveloped,1,1
Influenza_B_virus,Unassigned,Orthomyxoviridae,,Influenzavirus B,1,00.046.0.04.001.,0,1,1,,,12570.0,3403,2919,True,True,N,SS,RNA,enveloped,1,1
Influenza_C_virus,Unassigned,Orthomyxoviridae,,Influenzavirus C,1,00.046.0.02.001.,0,1,1,,,12555.0,493,277,True,True,N,SS,RNA,enveloped,1,1
Ippy_virus,Unassigned,Arenaviridae,,Arenavirus,0,00.003.0.01.002.,0,0,0,,,10682.0,7,4,True,True,N,SS,RNA,enveloped,0,0
Irkut_virus,Mononegavirales,Rhabdoviridae,,Lyssavirus,Tentative in genus,,0,0,0,,,11980.0,8,5,True,False,N,SS,RNA,enveloped,0,0
Isfahan_virus,Mononegavirales,Rhabdoviridae,,Vesiculovirus,0,,0,1,1,,,11088.0,17,9,True,False,Y,SS,RNA,enveloped,1,0
Isla_Vista_virus,Unassigned,Bunyaviridae,,Hantavirus,0,,0,0,0,,,15450.0,2,2,True,True,N,SS,RNA,enveloped,0,0
Issyk-Kul_virus,Unassigned,Bunyaviridae,,Unassigned,0,,0,0,0,,,19642.0,14,7,True,True,Y,SS,RNA,enveloped,0,0
Itaporanga_virus,Unassigned,Bunyaviridae,,Phlebovirus,Tentative in genus,,0,0,0,,,11300.0,3,1,True,True,Y,SS,RNA,enveloped,0,0
Jaagsiekte_sheep_retrovirus,Unassigned,Retroviridae,Orthoretrovirinae,Betaretrovirus,0,00.061.1.01.005.,0,0,0,,,7462.0,226,156,False,False,N,SS,RNA,enveloped,0,0
Japanaut_virus,Unassigned,Reoviridae,,Orbivirus,Tentative in genus,,0,0,0,,,19200.0,1,1,True,True,Y,DS,RNA,non-enveloped,0,0
Japanese_encephalitis_virus,Unassigned,Flaviviridae,,Flavivirus,0,00.026.0.01.019.,0,1,0,,,10976.0,2921,2087,True,False,Y,SS,RNA,enveloped,1,0
