name,rg_label,genome_type,transmission_route,host_range,environmental_stability,treatment_available,infectious_dose,zoonotic
Actinomadura macra,1,,,,,,,
Actinomadura madurae,2,,,,,,,
Actinomadura nitritigenes,1,,,,,,,
Actinomadura oligospora,1,,,,,,,
Actinomadura pelletieri,2,,,,,,,
Actinomadura rifamycini,1,,,,,,,
Actinomadura rugatobispora,1,,,,,,,
Actinomadura verrucosospora,1,,,,,,,
Actinomadura vinacea,1,,,,,,,
Actinomadura viridilutea,1,,,,,,,
Actinomadura viridis,1,,,,,,,
Actinomadura yumaensis,1,,,,,,,
Actinomortierella wolfii,1,,,,,,,
Actinomyces bovis,1,,,,,,,
Actinomyces denticolens,1,,,,,,,
Actinomyces graevenitzii,1,,,,,,,
Actinomyces howellii,1,,,,,,,
Actinomyces israelii,2,,,,,,,
Actinomyces naeslundii,2,,,,,,,
Actinomyces radicidentis,2,,,,,,,
Actinomyces slackii,1,,,,,,,
Actinomyces urogenitalis,1,,,,,,,
Actinomyces viscosus,2,,,,,,,
Actinoplanes auranticolor,1,,,,,,,
Actinoplanes awajinensis,1,,,,,,,
Actinoplanes brasiliensis,1,,,,,,,
Actinoplanes campanulatus,1,,,,,,,
Actinoplanes consettensis,1,,,,,,,
Actinoplanes cyaneus,1,,,,,,,
Actinoplanes deccanensis,1,,,,,,,
Actinoplanes derwentensis,1,,,,,,,
Actinoplanes digitatus,1,,,,,,,
Actinoplanes durhamensis,1,,,,,,,
Actinoplanes globisporus,1,,,,,,,
Actinoplanes humidus,1,,,,,,,
Actinoplanes ianthinogenes,1,,,,,,,
Actinoplanes italicus,1,,,,,,,
Actinoplanes lobatus,1,,,,,,,
Actinoplanes missouriensis,1,,,,,,,
Actinoplanes palleronii,1,,,,,,,
Actinoplanes philippinensis,1,,,,,,,
Actinoplanes rectilineatus,1,,,,,,,
Actinoplanes regularis,1,,,,,,,
Actinoplanes utahensis,1,,,,,,,
Actinopolymorpha alba,1,,,,,,,
Actinopolyspora halophila,1,,,,,,,
Actinopolyspora mortivallis,1,,,,,,,
Actinosynnema mirum,1,,,,,,,
Actinosynnema pretiosum,1,,,,,,,
Actinosynnema pretiosum subsp. auranticum,1,,,,,,,
Actinosynnema pretiosum subsp. pretiosum,1,,,,,,,
Actinotalea fermentans,1,,,,,,,
Actinotignum schaalii,2,,,,,,,
Actinotignum urinale,1,,,,,,,
Acute haemorrhagic conjunctivitis virus (AHC),2,,,,,,,
Adeno-associated virus rh.10,1,,,,,,,
Adeno-associated viruses AAV,2,,,,,,,
"Adenovirus (human, all types)",2,,,,,,,
Adenovirus of the guinea pig (GPAV),2,,,,,,,
Adlercreutzia equolifaciens,1,,,,,,,
Adlercreutzia mucosicola,1,,,,,,,
Adlercreutzia muris,1,,,,,,,
Aedes flavivirus,1,,,,,,,
Aelurostrongylus abstrusus,1,,,,,,,
Aeribacillus pallidus,1,,,,,,,
Aerococcus christensenii,2,,,,,,,
Aerococcus sanguinicola,2,,,,,,,
Aerococcus urinae,2,,,,,,,
Aerococcus urinaeequi,1,,,,,,,
Aerococcus urinaehominis,1,,,,,,,
Aerococcus viridans,2,,,,,,,
Aeromicrobium erythreum,1,,,,,,,
Aeromicrobium fastidiosum,1,,,,,,,
Aeromonas allosaccharophila,1,,,,,,,
Aeromonas bestiarum,1,,,,,,,
Aeromonas caviae,2,,,,,,,
Aeromonas dhakensis,1,,,,,,,
Aeromonas encheleia,1,,,,,,,
Aeromonas enteropelogenes,1,,,,,,,
Aeromonas eucrenophila,1,,,,,,,
Aeromonas hydrophila,2,,,,,,,
Aeromonas hydrophila subsp. hydrophila,2,,,,,,,
Aeromonas hydrophila subsp. ranae,1,,,,,,,
Aeromonas jandaei,2,,,,,,,
Aeromonas media,1,,,,,,,
Aeromonas popoffii,1,,,,,,,
Aeromonas punctata subsp. punctata,2,,,,,,,
Aeromonas salmonicida,1,,,,,,,
Aeromonas salmonicida subsp. achromogenes,1,,,,,,,
Aeromonas salmonicida subsp. masoucida,1,,,,,,,
Aeromonas salmonicida subsp. nova,1,,,,,,,
Aeromonas salmonicida subsp. pectinolytica,1,,,,,,,
Aeromonas salmonicida subsp. salmonicida,1,,,,,,,
Aeromonas salmonicida subsp. smithia,1,,,,,,,
Aeromonas schubertii,1,,,,,,,
Aeromonas sobria,2,,,,,,,
Aeromonas veronii biovar sobria,2,,,,,,,
Aeromonas veronii biovar veronii,2,,,,,,,
Aeropyrum pernix,1,,,,,,,
Afifella marina,1,,,,,,,
Afipia birgiae,2,,,,,,,
Afipia broomeae,1,,,,,,,
Afipia carboxidovorans,1,,,,,,,
Afipia clevelandensis,1,,,,,,,
Afipia felis,2,,,,,,,
Afipia massiliensis,2,,,,,,,
African horse sickness virus,3,,,,,,,
Agaricus bisporus,1,,,,,,,
Agaricus longicaudus,1,,,,,,,
Agathobacter rectalis,1,,,,,,,
Agathobaculum desmolans,1,,,,,,,
Aggregatibacter actinomycetemcomitans,2,,,,,,,
Aggregatibacter aphrophilus,2,,,,,,,
Aggregatibacter segnis,2,,,,,,,
Agitococcus lubricus,2,,,,,,,
Agrobacterium larrymoorei,1,,,,,,,
Agrobacterium nepotum,1,,,,,,,
Agrobacterium radiobacter,1,,,,,,,
Agrobacterium rubi,1,,,,,,,
Agrobacterium tumefaciens,1,,,,,,,
Agrococcus citreus,1,,,,,,,
Agrococcus jenensis,1,,,,,,,
Agromyces cerinus,1,,,,,,,
Agromyces cerinus subsp. cerinus,1,,,,,,,
Agromyces cerinus subsp. nitratus,1,,,,,,,
Agromyces fucosus,1,,,,,,,
Agromyces hippuratus,1,,,,,,,
Agromyces mediolanus,1,,,,,,,
Agromyces ramosus,1,,,,,,,
Aino virus,3,,,,,,,
Akabane virus,3,,,,,,,
Akkermansia muciniphila,1,,,,,,,
Alajuela orthobunyavirus,3,,,,,,,
Alaria alata,2,,,,,,,
Alastrim (Variola minor),4,,,,,,,
Alcaligenes faecalis,2,,,,,,,
Alcaligenes faecalis subsp. faecalis,2,,,,,,,
Alcaligenes hydrogenophilus,1,,,,,,,
Alcanivorax borkumensis,1,,,,,,,
Alcanivorax jadensis,1,,,,,,,
Alcelaphine herpesvirus 1 (Bovine malignant catarrhal fever),3,,,,,,,
Aleutian mink disease virus,3,,,,,,,
Alexandrium catenella,1,,,,,,,
Algicola bacteriolytica,1,,,,,,,
Alginovibrio aquatilis,1,,,,,,,
Algoriphagus machipongonensis,1,,,,,,,
Alicyclobacillus acidocaldarius,1,,,,,,,
