genome_type_enc,taxonomic_family_enc,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,infects_humans,host_breadth,rg_label
6,47,0,1,1,0,0,0,1.0,2
5,31,0,1,0,0,0,0,7.0,0
5,31,0,1,0,0,1,0,3.0,0
5,31,0,1,0,0,0,0,5.0,1
5,31,0,1,0,0,0,0,5.0,0
5,31,0,1,0,0,1,0,3.0,0
6,47,0,1,0,0,0,0,3.0,0
1,42,0,1,1,0,1,0,6.0,0
0,28,1,1,0,0,1,0,3.0,0
0,28,1,1,0,0,1,0,3.0,0
6,47,0,1,0,0,0,1,6.0,0
6,47,0,1,0,0,0,0,2.0,1
6,47,0,1,1,0,1,0,27.0,0
6,47,0,1,1,0,1,0,1.0,1
4,11,0,0,0,0,0,0,1.0,1
4,11,0,0,0,0,0,0,1.0,0
5,41,0,1,0,0,1,0,3.0,0
5,41,0,1,0,0,1,0,3.0,0
6,47,0,1,0,0,0,0,2.0,1
1,42,0,1,0,0,1,0,3.0,0
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,0
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,2
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,0
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
1,42,0,1,0,0,1,0,3.0,1
5,31,0,1,0,0,1,0,3.0,1
5,31,0,1,0,0,1,0,3.0,1
5,31,0,1,0,0,0,0,1.0,1
5,31,0,1,0,0,0,0,1.0,1
5,31,0,1,0,0,0,0,1.0,1
5,31,0,1,0,0,1,0,3.0,0
5,10,0,1,0,0,1,0,2.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,0
5,33,0,1,0,0,1,0,3.0,2
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,2
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,1,2.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,1,0,1,0,12.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,2
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,1.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,2
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,2
5,33,0,1,0,0,1,0,3.0,1
