Organism,Risk Group,Agent Type,Alternate Names
Fusarium subglutinans,RG1,Fungus,"Fusarium moniliforme var. subglutinans,Fusarium neoceras var. subglutinans,Fusarium sacchari var. subglutinans,Teleomorph: Gibberella subglutinans,Gibberella fujikuroi var. subglutinans"
Fusarium oxysporum,RG1,Fungus,
Fusarium proliferatum,RG1,Fungus,
Fusarium redolens,RG1,Fungus,
Fusarium sambucinum,RG1,Fungus,
Fusarium solani,RG2,Fungus,"Fusisporium solani,Teleomorph: Nectria haematococca,Neocosmospora solani"
Fusarium tricinctum,RG1,Fungus,
Fusarium venenatum,,Fungus,
Fuscovulum blasticum,RG1,Bacteria,"Rhodobacter blasticus,Rhodopseudomonas blastica"
Fusibacter paucivorans,RG1,Bacteria,
Neoscytalidium dimidiatum,,Fungus,"Fusicoccum dimidiatum,Scytalidium dimidiatum"
Fusobacterium animalis,RG2,Bacteria,Fusobacterium nucleatum subsp. animalis
Fusobacterium necrophorum subsp. necrophorum,RG2,Bacteria,
Fusobacterium vincentii,RG2,Bacteria,"Fusobacterium nucleatum subsp. vincentii,Sphaerophorus fusiformis,Fusobacterium nucleatum subsp. fusiforme"
Fusobacterium nucleatum subsp. nucleatum,RG2,Bacteria,
Fusobacterium nucleatum subsp. polymorphum,RG2,Bacteria,Fusobacterium polymorphum
Fusobacterium periodonticum,RG2,Bacteria,
Fusobacterium simiae,RG1,Bacteria,
Fusobacterium ulcerans,RG2,Bacteria,
Phlebovirus gabekense,RG3,Virus,Gabek Forest virus
Orthoflavivirus gadgetsense,RG3,Virus,Gadgets Gully virus
Slopeiomyces cylindrosporus,RG1,Fungus,Gaeumannomyces cylindrosporus
Gaigeria pachyscelis,RG1,Parasite,
Geotrichum galactomycetum,RG2,Fungus,Galactomyces geotrichum
Gallibacterium anatis,RG1,Bacteria,Pasteurella anatis
Gallicola barnesae,RG2,Bacteria,Peptostreptococcus barnesae
Iltovirus gallidalpha1,RG1,Virus,"Gallid herpesvirus 1,Gallid alphaherpesvirus 1,Infectious laryngotracheitis virus"
Mardivirus gallidalpha2,RG1,Virus,"Gallid alphaherpesvirus 2,Marek disease virus,Marek's disease herpesvirus,Gallid herpesvirus 2"
Nevskia ramosa,RG1,Bacteria,Gallionella ramosa
Gammabaculovirus nelecontei,RG1,Virus,Neodiprion lecontei nucleopolyhedrovirus
Gammabaculovirus nesertiferis,RG1,Virus,Neodiprion sertifer nucleopolyhedrovirus
Gammainfluenzavirus influenzae,RG2,Virus,Influenza C virus
Gammaretrovirus aviretend,,Virus,Reticuloendotheliosis virus
Gammaretrovirus avisplnec,,Virus,Trager duck spleen necrosis virus
Gammaretrovirus gibleu,RG1,Virus,Gibbon ape leukemia virus
Gammaretrovirus momursar,RG1,Virus,"Murine sarcoma virus,Moloney murine sarcoma virus"
Gammaretrovirus murleu,RG1,Virus,Murine leukemia virus
Gammaretrovirus murleu genetically modified Moloney strain SinVec-COL7A1,RG2,Virus,Murine leukemia virus genetically modified Moloney strain SinVec-COL7A1
Gammaretrovirus porConc,RG1,Virus,"Porcine endogenous retrovirus,Porcine type-C oncovirus"
Gastrodiscoides hominis,,Parasite,
GC toxins,Unregulated Toxins,Toxin,
Gelidibacter algens,RG1,Bacteria,
Gemella asaccharolytica,RG2,Bacteria,Gemelliphila asaccharolytica
Gemella bergeri,RG2,Bacteria,Gemella bergeriae
Gemella cunicula,RG1,Bacteria,
Gemella cuniculi,RG2,Bacteria,
Gemella haemolysans,RG2,Bacteria,Neisseria haemolysans
Gemella palaticanis,RG2,Bacteria,Gemelliphila palaticanis
Gemella sanguinis,RG2,Bacteria,
Gemmata obscuriglobus,RG1,Bacteria,
Gemmiger formicilis,RG1,Bacteria,
Gemmobacter aquatilis,RG1,Bacteria,
Geobacter metallireducens,RG1,Bacteria,
Geobacter sulfurreducens,RG1,Bacteria,
Geodermatophilus obscurus,RG1,Bacteria,
Pseudogymnoascus destructans,RG1,Fungus,Geomyces destructans
Sulfurospirillum deleyianum,RG1,Bacteria,Geospirillum arsenophilus
Geothrix fermentans,RG1,Bacteria,
Geotoga petraea,RG1,Bacteria,
Geotoga subterranea,RG1,Bacteria,
Geotoga weaveri,RG1,Bacteria,
Orthopoxvirus taterapox,RG2,Virus,"Taterapox virus,gerbil pox"
Gerstmann-Straussler-Scheinker (GSS) syndrome agent,RG3,Prion,
Giardia agilis,RG1,Parasite,
Giardia ardeae,RG1,Parasite,
Giardia intestinalis,RG2,Parasite,"Giardia duodenalis,Lamblia intestinalis,Giardia lamblia"
Giardia muris,RG1,Parasite,
Giardia psittaci,RG1,Parasite,
Gibbsiella dentisursi,RG2,Bacteria,Gibbsiella papilionis
Gibbsiella dentisursi NUM 1720 T,RG2,Bacteria,
Gibbsiella quercinecans,RG1,Bacteria,
Gigaspora margarita,RG1,Fungus,
Okavirus branchiae,,Virus,Gill-associated virus
Gimesia maris,RG1,Bacteria,Planctomyces maris
Glaciecola pallidula,RG1,Bacteria,
Glaciecola punicea,RG1,Bacteria,
Glaesserella parasuis,RG1,Bacteria,Haemophilus parasuis
Trichoderma deliquescens,RG2,Fungus,"Teleomorph: Hypocrea lutea,Gliocladium viride,Hypocrea gelatinosa var. lutea,Sphaeria gelatinosa,Gliocladium deliquescens"
Trichoderma virens,RG1,Fungus,Gliocladium virens
Gliotoxin,Unregulated Toxins,Toxin,
Globicatella sanguinis,RG2,Bacteria,Globicatella sanguis
Globisporangium ultimum,RG1,Fungus,Pythium ultimum
Rhizoglomus aggregatum,RG1,Fungus,"Rhizophagus aggregatus,Glomus aggregatum"
Rhizoglomus clarum,RG1,Fungus,"Glomus clarum,Rhizophagus clarus"
Septoglomus deserticola,RG1,Fungus,Glomus deserticola
Rhizophagus intraradices,RG1,Fungus,Glomus intraradices
RK 13,RG1,Cell Line,"RK13,GLRK 13,RK-13,GLRK/13"
Gluconacetobacter sacchari,RG1,Bacteria,
Gluconobacter cerinus,RG1,Bacteria,Gluconobacter asaii
Gluconobacter frateurii,RG1,Bacteria,
Gluconobacter oxydans,RG1,Bacteria,"Gluconobacter oxydans subsp. oxydans,Gluconobacter oxydans subsp. suboxydans,Gluconobacter suboxydans,Gluconobacter uchimurae,Gluconobacter oxydans subsp. industrius,Gluconobacter oxydans subsp. melanogenes"
Gluconobacter sphaericus,RG1,Bacteria,Gluconobacter oxydans subsp. sphaericus
Glycomyces harbinensis,RG1,Bacteria,
Glycomyces rutgersensis,RG1,Bacteria,
Glycomyces tenuis,RG1,Bacteria,
Y-79,RG1,Cell Line,"GM01232,Y79"
Gnathostoma hispidum,RG2,Parasite,
Gnathostoma spinigerum,RG2,Parasite,
Goat Adenovirus 1,,Virus,
Mastadenovirus ovisprimum,,Virus,Goat adenovirus 2
Lampropedia hyalina,RG1,Bacteria,"Gonium hyalinum,Sarcina hyalina,Pediococcus hyalinus,Micrococcus hyalinus,Merismopedia hyalina"
Gordonia bronchialis,RG2,Bacteria,"Gordona bronchialis,Rhodococcus bronchialis"
Rhodococcus ruber,RG1,Bacteria,"Gordona lentifragmenta,Rhodococcus lentifragmentus,Streptothrix rubra,Proactinomyces rubra,Nocardia rubra"
Gordonia rubripertincta,RG1,Bacteria,"Serratia rubropertincta,Mycobacterium rubropertinctum,Gordona rubra,Gordonia rubropertinctus,Nocardia corallina,Rhodococcus corallinus,Rhodococcus rubripertinctus,Proactinomyces rubropertinctus,Nocardia rubropertincta"
Gordonia aichiensis,RG2,Bacteria,Rhodococcus aichiensis
Gordonia alkanivorans,RG1,Bacteria,Gordonia nitida
Gordonia amarae,RG1,Bacteria,Nocardia amarae
Gordonia desulfuricans,RG1,Bacteria,
Gordonia hirsuta,RG1,Bacteria,
Gordonia hydrophobica,RG1,Bacteria,
Gordonia polyisoprenivorans,RG1,Bacteria,
Gordonia rhizosphera,RG1,Bacteria,
Gordonia sputi,RG2,Bacteria,"Rhodococcus chubuensis,Rhodococcus obuensis,Rhodococcus sputi"
Gordonia terrae,RG1,Bacteria,Rhodococcus terrae
Orthonairovirus gossasense,RG2,Virus,Gossas virus
Gracilibacillus halotolerans,RG1,Bacteria,
Gracilimonas tropica,RG1,Bacteria,
Gracilinema caldarium,RG1,Bacteria,"Treponema caldarium,Spirochaeta caldaria"
Hapavirus graylodge,RG3,Virus,"Gray Lodge hapavirus,Gray Lodge virus"
Grimontia hollisae,RG2,Bacteria,Vibrio hollisae
Vibrio mediterranei,RG1,Bacteria,Grimontia hollisae
Orthohepadnavirus sciuri,RG1,Virus,Ground squirrel hepatitis virus
Guaico Culex virus,RG2,Virus,
Orthobunyavirus guajaraense,RG2,Virus,"Guajara orthobunyavirus,Guajara virus"
Mammarenavirus guanaritoense,RG4,Virus,"Guanarito virus,Guanarito mammarenavirus"
Orthobunyavirus guaroaense,RG2,Virus,"Guaroa orthobunyavirus,Guaroa virus"
Guyparkeria halophila,RG1,Bacteria,"Halothiobacillus halophilus,Thiobacillus halophilus"
Guyparkeria hydrothermalis,RG1,Bacteria,"Halothiobacillus hydrothermalis,Thiobacillus hydrothermalis"
Gymnodimines,Unregulated Toxins,Toxin,
Karenia brevis,RG1,Other,"Ptychodiscus brevis,Gymnodinium breve"
Gyrodactylus salaris,,Parasite,
TK6,RG2,Cell Line,"H2BT,TK-6"
Haematobia irritans,,Parasite,"Haematobia irritans irritans,Horn fly,Lyperosia irritans"
Haemophilus aegyptius,RG2,Bacteria,"Hemophilus conjunctivitidis,Haemophilus aegypticus,Koch-Weeks bacillus"
Moraxella bovis,RG1,Bacteria,Haemophilus bovis
Haemophilus felis,RG1,Bacteria,
Haemophilus haemolyticus,RG2,Bacteria,
Haemophilus influenzae subsp. murium,RG1,Bacteria,
Haemophilus influenzae type b,,Bacteria,
Haemophilus parahaemolyticus,RG2,Bacteria,
Haemophilus parainfluenzae,RG2,Bacteria,
Haemophilus paraphrohaemolyticus,RG2,Bacteria,
Haemophilus piscium,,Bacteria,
Histophilus somni,RG1,Bacteria,"Histophilus ovis,Haemophilus somnifer,Haemophilus somnus"
Hafnia paralvei,RG1,Bacteria,Hafnia alvei hybridization group 2
Hahella ganghwensis,RG1,Bacteria,
Haladaptatus paucihalophilus,RG1,Other,
Halanaerobacter chitinivorans,RG1,Bacteria,"Haloanaerobacter chitinovorans,Halanaerobacter chitinovorans"
Halanaerobacter lacunarum,RG1,Bacteria,"Haloanaerobacter lacunarum,Halobacterium lacunaris,Halobacteroides lacunaris"
Halanaerobacter salinarius,RG1,Bacteria,Haloanaerobacter salinarius
Halanaerobium acetethylicum,RG1,Bacteria,"Halanaerobium acetoethylicum,Halobacteroides acetoethylicus"
Halanaerobium alcaliphilum,RG1,Bacteria,Haloanaerobium alcaliphilum
Halanaerobium congolense,RG1,Bacteria,Haloanaerobium congolense
Halanaerobium kushneri,RG1,Bacteria,Haloanaerobium kushneri
Halanaerobium lacusrosei,RG1,Bacteria,Haloanaerobium lacusrosei
Halanaerobium praevalens,RG1,Bacteria,Haloanaerobium prevalens
Halanaerobium saccharolyticum,RG1,Bacteria,"Haloanaerobium saccharolyticum,Haloincola saccharolyticus,Haloincola saccharolyticum"
Halanaerobium saccharolyticum subsp. saccharolyticum,RG1,Bacteria,"Haloanaerobium saccharolyticum subsp. saccharolyticum,Haloincola saccharolyticus subsp. saccharolyticus"
Halanaerobium saccharolyticum subsp. senegalense,RG1,Bacteria,"Haloanaerobium saccharolyticum subsp. senegalense,Haloincola saccharolyticus subsp. senegalensis"
Halanaerobium salsuginis,RG1,Bacteria,"Haloanaerobium salsuginis,Haloanaerobium salsugo"
Haliscomenobacter hydrossis,RG1,Bacteria,
Hallella seregens,RG2,Bacteria,
Haloarcula argentinensis,RG1,Bacteria,Haloarcula sp. (strain arg-1)
Haloarcula hispanica,RG1,Bacteria,
Haloarcula japonica,RG1,Bacteria,
Haloarcula marismortui,RG1,Bacteria,Halobacterium marismortui
Halomicrobium mukohataei,RG1,Bacteria,"Haloarcula mukohataei,Haloarcula mukohatas,Halomicrobium katesii"
Haloarcula quadrata,RG1,Bacteria,
Haloarcula vallismortis,RG1,Bacteria,Halobacterium vallismortis
Halobacillus halophilus,RG1,Bacteria,Sporosarcina halophila
Halobacillus litoralis,RG1,Bacteria,
Halobacillus trueperi,RG1,Bacteria,
Halobacterium salinarum,RG1,Bacteria,"Halobacterium cutirubrum,Halobacterium halobium,Halobacterium piscisalsi"
Natrinema pellirubrum,RG1,Bacteria,Halobacterium cutirubrum subsp. Proteolyticum
Haloferax denitrificans,RG1,Bacteria,Halobacterium denitrificans
Halorubrum distributum,RG1,Bacteria,"Halorubrum terrestre,Halobacterium distributum,Halorubrobacterium distributum,Halorubrum arcis,Halorubrum litoreum"
Halorubrum lacusprofundi,RG1,Bacteria,"Halobacterium lacusprofundi,Halorubrobacterium lacusprofundi"
Haloferax mediterranei,RG1,Bacteria,Halobacterium mediterranei
Natronomonas pharaonis,RG1,Bacteria,"Halobacterium pharaonis,Natronobacterium pharaonis"
Halorubrum saccharovorum,RG1,Bacteria,"Halobacterium saccharovorum,Halorubrobacterium saccharovorum"
Halorubrum sodomense,RG1,Bacteria,"Halobacterium sodomense,Halorubrobacterium sodomense"
Halorubrum trapanicum,RG1,Bacteria,Halobacterium trapanicum
Haloferax volcanii,RG1,Bacteria,Halobacterium volcanii
Halobacteroides elegans,RG1,Bacteria,
Halobacteroides halobius,RG1,Bacteria,
Halobaculum gomorrense,RG1,Bacteria,
Halocella cellulosilytica,RG1,Bacteria,Halocella cellulolytica
Halococcus morrhuae,RG1,Bacteria,"Micrococcus litoralis,Micrococcus morrhuae"
Halococcus saccharolyticus,RG1,Bacteria,
Halococcus salifodinae,RG1,Bacteria,
Haloterrigena turkmenica,RG1,Bacteria,Halococcus turkmenicus
Haloferax gibbonsii,RG1,Bacteria,
Halogeometricum borinquense,RG1,Bacteria,
Halomethanococcus doii,RG1,Bacteria,
Halomonas desiderata,RG1,Bacteria,Halomonas daqingensis
Halomonas elongata,RG1,Bacteria,
Halomonas eurihalina,RG1,Bacteria,Volcaniella eurihalina
Halomonas halodenitrificans,RG1,Bacteria,"Micrococcus denitrificans var. halodenitrificans,Micrococcus halodenitrificans,Paracoccus halodenitrificans"
Halomonas meridiana,RG1,Bacteria,
Halomonas pantelleriensis,RG1,Bacteria,
Halomonas subglaciescola,RG1,Bacteria,
Halovibrio variabilis,RG1,Bacteria,Halomonas variabilis
Halopseudomonas pertucinogena,RG1,Bacteria,Pseudomonas pertucinogena
Halorubrum coriense,RG1,Bacteria,Halorubrobacterium coriense
Halorubrum vacuolatum,RG1,Bacteria,"Natronobacterium vacuolata,Natronobacterium vacuolatum"
Halothermothrix orenii,RG1,Bacteria,
Halothiobacillus neapolitanus,RG1,Bacteria,"Thiobacillus neapolitanus,Thiobacillus X"
Hammondia hammondi,RG1,Parasite,
Hamster parvovirus H-1,RG1,Virus,
Kloeckera corticis var. pulquensis,RG1,Fungus,"Kloeckera japonica,Hanseniaspora valbyensis,Pseudosaccharomyces japonica"
Pachysolen tannophilus,RG1,Fungus,Hansenula tannophila
Orthohantavirus hantanense,RG3,Virus,"Hantaan orthohantavirus,Hantaan virus"
Hapavirus joinjakaka,RG2,Virus,Joinjakaka hapavirus
Hapavirus kamese,RG2,Virus,"Kamese virus,Kamese hapavirus"
Hapavirus lajoya,RG2,Virus,La Joya hapavirus
Hapavirus landjia,RG2,Virus,"Landjia virus,Landjia hapavirus"
Hapavirus manitoba,RG2,Virus,"Manitoba virus,Manitoba hapavirus"
Hapavirus marco,RG2,Virus,"Marco virus,Marco hapavirus"
Hapavirus mosqueiro,RG3,Virus,"Mosqueiro hapavirus,Mosqueiro virus"
Hapavirus mossuril,RG2,Virus,"Mossuril virus,Mossuril hapavirus"
Hapavirus ngaingan,RG2,Virus,"Ngaingan virus,Ngaingan hapavirus"
Hapavirus wongabel,,Virus,"Wongabel virus,Wongabel hapavirus"
Polyangium minus,RG1,Bacteria,Haploangium minor
Polyangium rugiseptum,RG1,Bacteria,Haploangium rugiseptum
Haplosporidium costale,,Parasite,Minchinia costalis
Haplosporidium nelsoni,,Parasite,Minchinia nelsoni
Hare fibroma virus,,Virus,
Hartmannella limax,RG1,Parasite,
Schizosaccharomyces japonicus,,Fungus,"Hasegawaea japonica,Octosporomyces japonicus"
Hathewaya histolytica collagenase,Unregulated Toxins,Toxin,
HeLa,RG1,Cell Line,"Henrietta Lacks cells,HELA,He La"
Hydrotaea irritans,,Parasite,Headfly
Hebeloma crustuliniforme,RG1,Fungus,
Hebeloma cylindrosporum,RG1,Fungus,
HEK293-EBNA,RG1,Cell Line,"HEK293E,HEK 293 c18,HEK293-EBNA1"
HEK293T,RG1,Cell Line,"HEK-293-T,HEK 293 T,HEK 293T,HEK-293T"
HeLa S3,RG1,Cell Line,"S3 HeLa,HeLaS3,HeLa-S3,HeLa/S3"
Helcococcus kunzii,RG2,Bacteria,
Helcococcus ovis,RG2,Bacteria,
Helcococcus sueciensis,RG1,Bacteria,
Helicobacter bilis,RG1,Bacteria,
Helicobacter bizzozeronii,RG2,Bacteria,
Helicobacter canis,RG1,Bacteria,
Helicobacter cholecystus,RG1,Bacteria,
Helicobacter felis,RG1,Bacteria,
Helicobacter ganmani,RG1,Bacteria,
Helicobacter hepaticus,RG1,Bacteria,Helicobacter ulmiensis
Helicobacter macacae,RG2,Bacteria,
Helicobacter mastomyrinus,RG1,Bacteria,
Helicobacter muridarum,RG1,Bacteria,
Helicobacter pametensis,RG1,Bacteria,
Helicobacter pullorum,RG2,Bacteria,
Helicobacter pylori vacuolating toxin,Unregulated Toxins,Toxin,
Helicobacter rodentium,RG1,Bacteria,
Helicobacter salomonis,RG1,Bacteria,
Helicobacter trogontum,RG1,Bacteria,
Heligmosomoides polygyrus,RG1,Parasite,Nematospirodes dubius
Heliobacterium chlorum,RG1,Bacteria,
Heliomicrobium gestii,RG1,Bacteria,Heliobacterium gestii
Heliomicrobium modesticaldum,RG1,Bacteria,Heliobacterium modesticaldum
Heliophilum fasciatum,RG1,Bacteria,
Heliothrix oregonensis,RG1,Bacteria,
Parahenipavirus mojiangense,RG4,Virus,"Mojiang henipavirus,Henipavirus mojiangense,Mojiang virus,Mojiang paramyxovirus"
Henipavirus nipahense,RG4,Virus,"Nipah henipavirus,Nipah virus"
"Henipavirus nipahense virus-like particles composed of M, G, F proteins",RG1,Virus,"Nipah virus-like particles composed of M, G, F proteins"
Hepacivirus hominis,RG2,Virus,"Hepatitis C virus JFH-1 strain,Hepatitis C virus"
HepaRG AHR KO,RG1,Cell Line,"HepaRG Cells AHR (-/-),HepaRG AHR Knockout Cells"
Hepatovirus ahepa,RG2,Virus,"Hepatovirus A,Hepatitis A virus"
Orthohepadnavirus hominoidei,RG2,Virus,Hepatitis B virus
Hepatitis delta virus,RG2,Virus,"Hepatitis delta virus,Hepatitis D virus"
Paslahepevirus balayani,RG2,Virus,"Orthohepevirus A,Hepatitis E virus"
Herbaspirillum aquaticum,RG1,Bacteria,
Herbaspirillum huttiense,RG1,Bacteria,Pseudomonas huttiensis
Herbaspirillum rubrisubalbicans,RG1,Bacteria,Pseudomonas rubrisubalbicans
Herbaspirillum seropedicae,RG1,Bacteria,
Herbidospora cretacea,RG1,Bacteria,Streptosporangium claviforme
Herbidospora seropedicae,RG1,Bacteria,
Simplexvirus macacinealpha1,RG4,Virus,"Macacine herpesvirus Type 1,Herpes B virus (Cercopithecine herpes virus 1),Herpesvirus simiae,Macacine alphaherpesvirus 1,Monkey B Virus"
Simplexvirus humanalpha1,RG2,Virus,"Human herpesvirus 1,Human alphaherpesvirus 1,Herpes simplex virus 1"
Simplexvirus humanalpha2,RG2,Virus,"Herpes simplex virus 2,Human herpesvirus 2,Human alphaherpesvirus 2"
Herpes Simplex Virus Type 2 Vaccine candidate ACAM-529,RG1,Virus,
Herpetosiphon aurantiacus,RG1,Bacteria,Herpetosiphon giganteus
Lewinella cohaerens,RG1,Bacteria,Herpetosiphon cohaerens
Herpetosiphon geysericola,RG1,Bacteria,"Leptolyngbya geysericola,Phormidium geysericola"
Lewinella persica,RG2,Bacteria,"Herpetosiphon persicus,Neolewinella persica"
Trypanosoma lewisi,,Parasite,Herpetosoma lewisi
Trypanosoma rangeli,RG1,Parasite,Herpetosoma rangeli
Heterakis gallinarum,RG2,Parasite,
Heterobilharzia americana,RG2,Parasite,
Heterophyes heterophyes,RG2,Parasite,
Hexamita inflata,RG1,Parasite,
Spironucleus meleagridis,RG1,Parasite,Hexamita meleagridis
Hexamita nelsoni,RG1,Parasite,
Hexamita salmonis,RG1,Parasite,
hFOB 1.19,RG1,Cell Line,
Hippea maritima,RG1,Bacteria,
Hirschia baltica,RG1,Bacteria,
Histomonas meleagridis,RG1,Parasite,
Histoplasma capsulatum var. capsulatum,RG3,Fungus,Histoplasma capsulatum
Histoplasma capsulatum,RG3,Fungus,
Histoplasma capsulatum var. duboisii,RG3,Fungus,Histoplasma duboisii
Histoplasma capsulatum var. farciminosum,RG3,Fungus,
HIV-SIV chimera pseudoviruses,RG2,Virus,
HK-2,RG1,Cell Line,HK2
Holdemania filiformis,RG1,Bacteria,
Hollandina pterotermitidis,RG1,Bacteria,
Holophaga foetida,RG1,Bacteria,
Holospora caryophila,RG1,Bacteria,Preeria caryophila
Holospora elegans,RG1,Bacteria,
Holospora obtusa,RG1,Bacteria,
Holospora undulata,RG1,Bacteria,
Horsepox virus,RG2,Virus,
HOS,RG1,Cell Line,
Meruliporia incrassata,,Fungus,"Serpula incrassata,Sesia incrassata,House eating fungus,Poria incrassata,Merulius incrassatus"
Hoylesella enoeca,RG2,Bacteria,Prevotella enoeca
Human umbilical mesenchymal stem cells,RG1,Cell Line,"HUMSC,HUCMSC,HUC-MSC,UC-MSC"
Orthonairovirus bushkeyense,RG2,Virus,"Hughes orthonairovirus,Hughes virus"
HuH-7,RG1,Cell Line,HuH7
Mastadenovirus adami,RG2,Virus,"Human mastadenovirus A,Human adenovirus A"
Mastadenovirus blackbeardi,RG2,Virus,"Human mastadenovirus B,Human adenovirus B"
Mastadenovirus caesari,RG2,Virus,"Human adenovirus C serotype 5,Human mastadenovirus C"
Mastadenovirus dominans,RG2,Virus,"Human adenovirus D,Human mastadenovirus D"
Mastadenovirus exoticum,RG2,Virus,"Human mastadenovirus E,Human adenovirus E"
Mastadenovirus faecale,RG2,Virus,"Human adenovirus F,Human mastadenovirus F"
Human alphaherpesvirus 1 genetically modified ONCR-177,RG2,Virus,
Human alphaherpesvirus 2 ACAM-529,RG1,Virus,"Human herpesvirus 2 ACAM-529,Human herpesvirus 2 dl529"
Varicellovirus humanalpha3,RG2,Virus,"Human herpesvirus 3,Human alphaherpesvirus 3,Varicella Zoster virus (VZV)"
Mamastrovirus hominis,RG2,Virus,"Mamastrovirus 1,Human astrovirus"
Roseolovirus humanbeta6a,RG2,Virus,"Human B lymphotropic virus,Human betaherpesvirus 6A"
Roseolovirus humanbeta6b,RG2,Virus,Human betaherpesvirus 6B
Roseolovirus humanbeta7,RG2,Virus,"Human betaherpesvirus 7,Human herpesvirus 7"
Rhadinovirus humangamma8,RG2,Virus,"Human herpesvirus 8,Kaposi's sarcoma-associated herpesvirus (KSHV),Human gammaherpesvirus 8"
Necator americanus,RG2,Parasite,Human Hookworm
Human immunodeficiency virus -based second generation replication incompetent lentiviral vector containing APOBEC3,RG2,Virus,
Human immunodeficiency virus 1 and 2,RG3,Virus,
Human immunodeficiency virus 1 from 8E5 cells,RG2,Virus,
Mastadenovirus adami Adenovirus 12-SV40 hybrid virus,RG2,Virus,Human mastadenovirus A Adenovirus 12-SV40 hybrid virus
Mastadenovirus caesari recombinant replication-incompetent adenovirus 5 encoding tick antigens rAd5-Tick,RG1,Virus,Human mastadenovirus C recombinant replication-incompetent adenovirus 5 encoding tick antigens rAd5-Tick
Metapneumovirus hominis,RG2,Virus,Human metapneumovirus
Orthopneumovirus hominis,RG2,Virus,"Human orthopneumovirus,Human respiratory syncytial virus"
Orthorubulavirus laryngotracheitidis,RG2,Virus,"Human parainfluenza virus 2,Human rubulavirus 2,Human orthorubulavirus 2"
Orthorubulavirus hominis,RG2,Virus,"Human rubulavirus 4,Human orthorubulavirus 4,Human parainfluenza virus 4"
Respirovirus laryngotracheitidis,RG2,Virus,"Human parainfluenza virus 1,Human respirovirus 1"
Respirovirus pneumoniae,RG2,Virus,"Human parainfluenza virus 3,Human respirovirus 3"
Parechovirus ahumpari,RG2,Virus,"Parechovirus A,Human parechovirus 1-18"
Human primary preadipocyte cells,RG1,Cell Line,
Orthopneumovirus hominis deltaNS2-L19F-4M,RG1,Virus,Human respiratory syncytial virus deltaNS2-L19F-4M
Orthopneumovirus hominis deltaNS2/delta1313/I1314L,RG1,Virus,Human respiratory syncytial virus deltaNS2/delta1313/I1314L
Orthopneumovirus hominis LIDdeltaM2-2,RG1,Virus,Human respiratory syncytial virus LIDdeltaM2-2
Orthopneumovirus hominis LIDdeltaM2-2/276,RG1,Virus,Human respiratory syncytial virus LIDdeltaM2-2/276
Human torovirus,RG2,Virus,
Humicola fuscoatra,RG1,Fungus,
Humicola hyalothermophila,RG1,Fungus,
Thermomyces lanuginosus,,Fungus,"Monotospora lanuginosa,Humicola lanuginosa"
HUVEC-C,RG2,Cell Line,"HUV-EC-C,HUVEC"
Klebsiella pneumoniae,RG2,Bacteria,Hyalococcus pneumoniae
Hydrogenobaculum acidophilum,RG1,Bacteria,Hydrogenobacter acidophilus
Hydrogenobacter thermophilus,RG1,Bacteria,
Hydrogenophaga flava,RG1,Bacteria,"Pseudomonas flava,Hydrogenomonas flava"
Hydrogenophaga palleronii,RG1,Bacteria,Pseudomonas palleronii
Hydrogenophaga pseudoflava,RG1,Bacteria,Pseudomonas pseudoflava
Hydrogenophaga taeniospiralis,RG1,Bacteria,Pseudomonas taeniospiralis
Hydrogenophilus thermoluteolus,RG1,Bacteria,
Hydrogenovibrio crunogenus,RG1,Bacteria,Thiomicrospira crunogena
Hydrogenovibrio kuenenii,RG1,Bacteria,Thiomicrospira kuenenii
Hydrogenovibrio marinus,RG1,Bacteria,
Pilobolus kleinii,,Fungus,"Pilobolus crystallinus var. kleinii,Hydrogera kleinii"
Hydrotalea sandarakina,RG1,Bacteria,
Hymenobacter roseosalivarius,RG1,Bacteria,
Hymenolepis diminuta,RG2,Parasite,Rat tapeworm
Hymenolepis nana,RG2,Parasite,"Vampirolepis nana,Rodentolepis nana"
Hyper (HY) hamster-adapted Transmissible Spongiform Encephalopathy (TME) agent,RG1,Prion,
Hyper (HY) mouse-adapted Transmissible Mink Encephalopathy (TME) agent,RG1,Prion,
Hyperthermus butylicus,RG1,Bacteria,
Hyphomicrobium aestuarii,RG1,Bacteria,
Hyphomicrobium coagulans,RG1,Bacteria,
Hyphomicrobium denitrificans,RG1,Bacteria,
Hyphomicrobium facile,RG1,Bacteria,Hyphomicrobium facilis
Hyphomicrobium facile subsp. facile,RG1,Bacteria,Hyphomicrobium facilis subsp. facilis
Hyphomicrobium facile subsp. tolerans,RG1,Bacteria,Hyphomicrobium facilis subsp. tolerans
Hyphomicrobium facile subsp. ureaphilum,RG1,Bacteria,Hyphomicrobium facilis subsp. ureaphilum
Hyphomicrobium hollandicum,RG1,Bacteria,
Photobacterium indicum,RG1,Bacteria,Hyphomicrobium indicum
Hyphomicrobium methylovorum,RG1,Bacteria,
Hyphomonas neptunium,RG1,Bacteria,"Hyphomonas neptunia,Hyphomicrobium neptunium"
Hyphomicrobium vulgare,RG1,Bacteria,
Hyphomicrobium zavarzinii,RG1,Bacteria,
Hyphomonas hirschiana,RG1,Bacteria,
Hyphomonas jannaschiana,RG1,Bacteria,
Hyphomonas oceanitis,RG1,Bacteria,
Hyphomonas polymorpha,RG1,Bacteria,
