Organism,Risk Group,Agent Type,Alternate Names
Acidovorax citrulli,RG1,Bacteria,"Pseudomonas pseudoalcaligenes subsp. citrulli,Pseudomonas avenae subsp. citrulli,Paracidovorax citrulli,Acidovorax avenae subsp. citrulli"
Acidovorax defluvii,RG1,Bacteria,
Acidovorax delafieldii,RG1,Bacteria,Pseudomonas delafieldii
Acidovorax facilis,RG1,Bacteria,"Hydrogenomonas facilis,Pseudomonas facilis"
Acidovorax konjaci,RG1,Bacteria,"Pseudomonas avenae subsp. konjaci,Pseudomonas pseudoalcaligenes subsp. konjaci,Paracidovorax konjaci"
Acidovorax radicis,RG1,Bacteria,
Acidovorax temperans,RG1,Bacteria,
Acidovorax valerianellae,RG1,Bacteria,Paracidovorax valerianellae
Acinetobacter calcoaceticus subsp. anitratus,RG2,Bacteria,"Acinetobacter anitratum,Acinetobacter anitratus"
Acinetobacter antiviralis,RG2,Bacteria,
Acinetobacter baumannii,RG2,Bacteria,
Acinetobacter baylyi,RG1,Bacteria,
Acinetobacter beijerinckii,RG1,Bacteria,
Acinetobacter bereziniae,RG1,Bacteria,
Acinetobacter boissieri,RG2,Bacteria,
Acinetobacter bouvetii,RG1,Bacteria,
Acinetobacter brisouii,RG2,Bacteria,
Acinetobacter calcoaceticus,RG1,Bacteria,"Moraxella calcoacetica,Micrococcus calcoaceticus,Neisseria winogradskyi"
Acinetobacter gerneri,RG2,Bacteria,
Acinetobacter junii,RG1,Bacteria,Acinetobacter grimontii
Acinetobacter indicus,RG2,Bacteria,Acinetobacter guangdongensis
Acinetobacter guillouiae,RG1,Bacteria,
Acinetobacter gyllenbergii,RG1,Bacteria,
Acinetobacter johnsonii,RG2,Bacteria,Alcaligenes viscolactis
Acinetobacter kookii,RG2,Bacteria,
Acinetobacter kyonggiensis,RG2,Bacteria,Moraxella lwoffi
Acinetobacter lwoffii,RG1,Bacteria,Moraxella lwoffi
Acinetobacter marinus,RG1,Bacteria,
Acinetobacter nectaris,RG2,Bacteria,
Acinetobacter nosocomialis,RG1,Bacteria,
Acinetobacter oleivorans,RG1,Bacteria,
Acinetobacter oryzae,RG1,Bacteria,
Bordetella parapertussis,RG2,Bacteria,"Haemophilus parapertussis,Bacillus parapertussis,Acinetobacter parapertussis"
Acinetobacter parvus,RG1,Bacteria,
Photobacterium phosphoreum,RG1,Bacteria,"Acinetobacter phosphorescens,Coccobacillus acropoma,Photobacter phosphoreum,Photobacterium phosphorescens,Photobacterium profudum,Streptococcus phosphoreus,Pseudomonas lucifera,Micrococcus phosphoreus,Micrococcus physiculus"
Acinetobacter pittii,RG1,Bacteria,
Acinetobacter psychrotolerans,RG2,Bacteria,
Acinetobacter puyangensis,RG2,Bacteria,
Acinetobacter qingfengensis,RG2,Bacteria,
Acinetobacter radioresistens,RG1,Bacteria,
